rank,artists,song,streams,publish_date,album_name,song_popularity,followers,genres,artist_popularity,acousticness,energy,liveness,valence,danceability,speechiness,loudness,instrumentalness,tempo,year
70,Halsey,Without Me,1.963,4 October 2018,The Eminem Show,92,80833874,"['detroit hip hop', 'hip hop', 'rap']",90,0.00286,0.669,0.237,0.662,0.908,0.0738,-2.827,0.0,112.238,2018
71,Bruno Mars,When I Was Your Man,1.954,7 December 2012,Unorthodox Jukebox,92,53090888,"['dance pop', 'pop']",88,0.932,0.28,0.088,0.387,0.612,0.0434,-8.648,0.0,72.795,2012
73,Bruno Mars,That's What I Like,1.943,18 November 2016,24K Magic,90,53090888,"['dance pop', 'pop']",88,0.013,0.56,0.0944,0.86,0.853,0.0406,-4.961,0.0,134.066,2016
75,Shawn Mendes,There's Nothing Holdin' Me Back,1.924,20 April 2017,Illuminate (Deluxe),89,42089476,"['canadian pop', 'pop', 'viral pop']",82,0.38,0.813,0.0779,0.969,0.866,0.0554,-4.063,0.0,121.998,2017
76,Maroon 5,Memories,1.921,20 September 2019,Memories,30,40716153,['pop'],84,0.837,0.32,0.0822,0.575,0.764,0.0546,-7.209,0.0,91.019,2019
77,Coldplay,Viva La Vida,1.920,12 June 2008,Viva La Vida or Death and All His Friends,70,48846630,"['permanent wave', 'pop']",88,0.0954,0.617,0.109,0.417,0.486,0.0287,-7.115,3.23e-06,138.015,2008
78,Post Malone featuring Quavo,Congratulations,1.916,4 November 2016,Stoney (Deluxe),85,42872222,"['dfw rap', 'melodic rap', 'pop', 'rap']",87,0.215,0.804,0.253,0.492,0.63,0.0363,-4.183,0.0,123.146,2016
79,French Montana featuring Swae Lee,Unforgettable,1.906,7 April 2017,Jungle Rules,88,5207934,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",73,0.0293,0.769,0.104,0.733,0.726,0.123,-5.043,0.0101,97.985,2017
82,Nirvana,Smells Like Teen Spirit,1.896,10 September 1991,Nevermind (Deluxe Edition),4,18717149,"['grunge', 'permanent wave', 'rock']",81,2.55e-05,0.912,0.106,0.72,0.502,0.0564,-4.556,0.000173,116.761,1991
83,Post Malone,Better Now,1.896,27 April 2018,beerbongs & bentleys,84,42872222,"['dfw rap', 'melodic rap', 'pop', 'rap']",87,0.331,0.578,0.135,0.341,0.68,0.04,-5.804,0.0,145.038,2018
86,The Police,Every Breath You Take,1.877,20 May 1983,Synchronicity (Remastered 2003),91,5846910,"['album rock', 'classic rock', 'permanent wave', 'rock']",76,0.543,0.452,0.0714,0.74,0.82,0.0348,-9.796,0.00294,117.401,1983
88,Linkin Park,In the End,1.874,24 October 2000,Hybrid Theory (Bonus Edition),91,24630179,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",84,0.00958,0.864,0.209,0.4,0.556,0.0584,-5.87,0.0,105.143,2000
89,Alan Walker,Faded,1.871,3 December 2015,Different World,82,37983019,['electro house'],80,0.0281,0.627,0.11,0.159,0.468,0.0476,-5.085,7.97e-06,179.642,2015
91,Eminem featuring Nate Dogg,Till I Collapse,1.867,26 May 2002,The Eminem Show,88,80833874,"['detroit hip hop', 'hip hop', 'rap']",90,0.0622,0.847,0.0816,0.1,0.548,0.186,-3.237,0.0,171.447,2002
93,The Weeknd,Save Your Tears,1.860,20 March 2020,After Hours,91,79150971,"['canadian contemporary r&b', 'canadian pop', 'pop']",95,0.0212,0.826,0.543,0.644,0.68,0.0309,-5.487,1.24e-05,118.051,2020
97,Shawn Mendes,Stitches,1.823,14 April 2015,Handwritten,84,42089476,"['canadian pop', 'pop', 'viral pop']",82,0.0152,0.754,0.0486,0.746,0.746,0.0676,-6.684,0.0,149.882,2015
99,Roddy Ricch,The Box,1.822,6 December 2019,Please Excuse Me for Being Antisocial,88,10247140,"['melodic rap', 'rap', 'trap']",76,0.104,0.586,0.79,0.642,0.896,0.0559,-6.687,0.0,116.971,2019
100,The Chainsmokers featuring Daya,Don't Let Me Down,1.820,5 February 2016,Don't Let Me Down,82,19831026,['pop'],79,0.157,0.869,0.136,0.422,0.532,0.172,-5.094,0.00508,159.803,2016
